timestamp,total_gas_consumption,peak_power,actual_consumption,total_consumption_day,total_consumption_night,actual_injection,total_injection_day,total_injection_night
240815232353,2702.727,11.744,.357,9303.297,8071.892,.000,2280.634,889.889
240815232421,2702.727,11.744,.371,9303.297,8071.895,.000,2280.634,889.889
240815232422,2702.727,11.744,.368,9303.297,8071.895,.000,2280.634,889.889
240815232423,2702.727,11.744,.356,9303.297,8071.895,.000,2280.634,889.889
240815232451,2702.727,11.744,.372,9303.297,8071.898,.000,2280.634,889.889
240815232452,2702.727,11.744,.371,9303.297,8071.898,.000,2280.634,889.889
240815232453,2702.727,11.744,.358,9303.297,8071.898,.000,2280.634,889.889
240815232521,2702.727,11.744,.370,9303.297,8071.901,.000,2280.634,889.889
240815232522,2702.727,11.744,.367,9303.297,8071.901,.000,2280.634,889.889
240815232523,2702.727,11.744,.355,9303.297,8071.901,.000,2280.634,889.889
240815232551,2702.727,11.744,.372,9303.297,8071.904,.000,2280.634,889.889
240815232552,2702.727,11.744,.370,9303.297,8071.904,.000,2280.634,889.889
240815232553,2702.727,11.744,.356,9303.297,8071.904,.000,2280.634,889.889
240815232622,2702.727,11.744,.368,9303.297,8071.907,.000,2280.634,889.889
240815232623,2702.727,11.744,.353,9303.297,8071.907,.000,2280.634,889.889
240815232652,2702.727,11.744,.370,9303.297,8071.910,.000,2280.634,889.889
240815232653,2702.727,11.744,.353,9303.297,8071.910,.000,2280.634,889.889
240815232654,2702.727,11.744,.354,9303.297,8071.910,.000,2280.634,889.889
240815232732,2702.727,11.744,.352,9303.297,8071.914,.000,2280.634,889.889
240815232733,2702.727,11.744,.353,9303.297,8071.914,.000,2280.634,889.889
240815232734,2702.727,11.744,.353,9303.297,8071.914,.000,2280.634,889.889
240815232802,2702.727,11.744,.352,9303.297,8071.917,.000,2280.634,889.889
240815232803,2702.727,11.744,.352,9303.297,8071.917,.000,2280.634,889.889
240815232804,2702.727,11.744,.350,9303.297,8071.917,.000,2280.634,889.889
240815232832,2702.727,11.744,.369,9303.297,8071.920,.000,2280.634,889.889
240815232833,2702.727,11.744,.370,9303.297,8071.920,.000,2280.634,889.889
240815232834,2702.727,11.744,.369,9303.297,8071.920,.000,2280.634,889.889
